Feature_Index,Feature_Name,Away_from_shins,Hips_rise_first,Collide_with_knees,Lower_back_rounding,Mean_Importance
49,Bar_X (ZScore),-0.004540458530940206,0.0,-0.001997716894977186,0.00777224696533052,0.00030851788485328213
31,Right_Hip_Angle (DeltaRatio),0.002247714595068784,0.0,0.0,-0.0013316677179833203,0.00022901171927136588
14,Left_Knee_Angle (Delta),-0.0032346518233913324,0.0021655478003030915,0.0,0.0017638875086952721,0.0001736958714017578
43,Left_Hip_Angle (ZScore),0.001125717988424313,0.0,-0.002923162583518879,0.0017638875086952721,-8.3892715998235e-06
38,Bar_Knee_Y_Disp (DeltaRatio),-0.005496798567867001,0.0,0.0015311804008908414,0.0038621785391330654,-2.585990696077345e-05
45,Right_Hip_Angle (ZScore),-0.004540458530940206,0.00578034682080919,-0.0030829596412556004,0.001116090020156224,-0.00018174533280759797
21,Bar_X (Delta),-0.001201560367334209,-0.011560693641618491,0.017796127562642372,-0.0057636887608069065,-0.0001824538017793087
35,Bar_X (DeltaRatio),-0.005685064088698066,-0.010182820271541937,0.01929723502304148,-0.004192898047024829,-0.00019088684605583772
58,Right_Knee_Angle (DeltaSquare),-0.0033167495854062867,0.0,0.0014013452914798386,0.0008832127381668275,-0.00025804788893990516
9,Bar_Knee_X_Disp (Norm),0.0031147140776658366,0.008755028225670092,-0.0001404494382022392,-0.013334777031866918,-0.00040137104168330717
3,Right_Hip_Angle (Norm),-0.007773976187721354,0.003618999748680518,0.0015311804008908414,0.000652337266624281,-0.0004928646928814284
48,Right_Arm_Torso_Angle (ZScore),-0.012246035490876217,0.016402351662467174,-0.0015380313199104823,-0.005559332212847767,-0.0007352618402918232
56,Left_Knee_Angle (DeltaSquare),0.003414781592856797,0.010065776360374645,-0.005833333333333357,-0.010627578628739642,-0.0007450885022103892
52,Bar_Knee_Y_Disp (ZScore),0.0021928012209164738,-0.007975203149870214,-0.0073775055679287105,0.010059268120276244,-0.0007751598441515517
5,Left_Arm_Torso_Angle (Norm),-0.0011294579152961726,0.0014450867052022698,-0.0030829596412556004,-0.0006763930622568637,-0.0008609309784015917
59,Right_Hip_Angle (DeltaSquare),0.003266998341625249,0.004318649923593099,-0.007567264573991039,-0.003771764578681003,-0.0009383452218634236
54,Torso_Angle (ZScore),-0.01174659600312733,0.003618999748680518,-0.001997716894977186,0.006018091810307102,-0.0010268053347792239
40,Torso_Angle (DeltaRatio),0.0001307093432673101,0.010065776360374645,-0.015447845804988702,0.001066895579128091,-0.001046116130554664
57,Left_Hip_Angle (DeltaSquare),-0.008808056846012713,0.004318649923593099,-0.004464285714285698,0.003517666779518258,-0.0013590064642967636
12,Torso_Angle (Norm),-0.004105422939590819,0.0050894015740069465,-0.0049829157175398375,-0.003126211301548776,-0.0017812870961681215
